tecnologia,cultura,solo,regiao,uf,escala,Cluster
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,neossolo,NE,PI,media,cluster1
irrigacao,?,neossolo,NE,PI,media,cluster1
irrigacao,?,neossolo,NE,PI,media,cluster1
adubacao,?,neossolo,NE,PI,media,cluster1
?,soja,?,NE,CE,media,cluster1
irrigacao,mandioca,latossolo,NE,BA,media,cluster1
irrigacao,mandioca,latossolo,NE,BA,media,cluster1
irrigacao,mandioca,latossolo,NE,BA,media,cluster1
irrigacao,mandioca,latossolo,NE,BA,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,arroz,?,NE,PB,media,cluster1
irrigacao,arroz,?,NE,PB,media,cluster1
irrigacao,arroz,?,NE,PB,media,cluster1
irrigacao,arroz,?,NE,PE,media,cluster1
irrigacao,arroz,?,NE,PE,media,cluster1
irrigacao,arroz,?,NE,PE,media,cluster1
irrigacao,arroz,?,NE,PE,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,cafe,?,NE,PB,media,cluster1
irrigacao,cafe,?,NE,PB,media,cluster1
irrigacao,cafe,?,NE,PB,media,cluster1
irrigacao,cafe,?,NE,PE,media,cluster1
irrigacao,cafe,?,NE,PE,media,cluster1
irrigacao,cafe,?,NE,PE,media,cluster1
irrigacao,cafe,?,NE,PE,media,cluster1
irrigacao,cafe,?,NE,MA,media,cluster1
irrigacao,cafe,?,NE,MA,media,cluster1
irrigacao,cafe,?,NE,MA,media,cluster1
irrigacao,cafe,?,NE,MA,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
'manejo do solo',soja,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
?,milho,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
'agricultura de precisao',?,latossolo,NE,PE,media,cluster1
'agricultura de precisao',?,latossolo,NE,PE,media,cluster1
'agricultura de precisao',?,latossolo,NE,PE,media,cluster1
'manejo do solo',?,latossolo,NE,PE,media,cluster1
'manejo de agua',?,?,NE,PE,media,cluster1
'manejo de agua',?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
npk,?,?,NE,BA,media,cluster1
adubacao,?,?,NE,BA,media,cluster1
'manejo da cultura',?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,SE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
biofertilizante,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
?,soja,?,NE,CE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
adubacao,?,?,NE,PE,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
'manejo de irrigacao',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,neossolo,NE,PE,media,cluster1
irrigacao,?,neossolo,NE,PE,media,cluster1
irrigacao,?,neossolo,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,latossolo,NE,BA,media,cluster1
irrigacao,?,latossolo,NE,BA,media,cluster1
irrigacao,?,latossolo,NE,BA,media,cluster1
irrigacao,arroz,?,NE,BA,media,cluster1
irrigacao,arroz,?,NE,BA,media,cluster1
irrigacao,arroz,?,NE,BA,media,cluster1
irrigacao,arroz,?,NE,BA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,arroz,?,NE,MA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,argissolo,NE,BA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,MA,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,AL,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de agua',?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PI,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
'manejo de irrigacao',?,?,NE,BA,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PB,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
irrigacao,?,?,NE,PE,media,cluster1
?,?,neossolo,NE,PI,media,cluster1
?,?,neossolo,NE,MA,media,cluster1
irrigacao,milho,?,NE,PB,media,cluster1
irrigacao,milho,?,NE,PB,media,cluster1
irrigacao,milho,?,NE,PB,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,PE,media,cluster1
irrigacao,milho,?,NE,RN,media,cluster1
irrigacao,milho,?,NE,RN,media,cluster1
irrigacao,milho,?,NE,RN,media,cluster1
irrigacao,milho,?,NE,RN,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,milho,?,NE,PI,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,media,cluster1
'manejo de irrigacao',?,?,NE,CE,media,cluster1
'manejo de irrigacao',?,?,NE,CE,media,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
'manejo de irrigacao',?,?,NE,CE,grande,cluster1
'manejo de agua',?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,mandioca,latossolo,NE,BA,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,arroz,?,NE,PB,grande,cluster1
adubacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,milho,?,NE,PE,grande,cluster1
irrigacao,milho,?,NE,PB,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
irrigacao,cana-de-acucar,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
?,?,neossolo,NE,MA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,milho,?,NE,RN,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,PE,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,cafe,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,milho,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,arroz,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,neossolo,NE,PE,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
'manejo de agua',?,?,NE,MA,grande,cluster1
irrigacao,?,latossolo,NE,BA,grande,cluster1
irrigacao,milho,?,NE,RN,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
'irrigacao por microaspersao',?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,arroz,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,arroz,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
'manejo de irrigacao',?,?,NE,CE,grande,cluster1
'manejo de irrigacao',?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,cafe,?,NE,MA,grande,cluster1
irrigacao,cana-de-acucar,?,NE,MA,grande,cluster1
irrigacao,cafe,?,NE,MA,grande,cluster1
'manejo de agua',?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,neossolo,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,cafe,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
'adubacao organica',?,?,NE,PE,grande,cluster1
irrigacao,cafe,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
'agricultura de precisao',?,latossolo,NE,PE,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
'manejo da cultura',?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
'manejo de irrigacao',?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
hibridacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,arroz,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,PE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,PE,grande,cluster1
irrigacao,mandioca,latossolo,NE,BA,grande,cluster1
'manejo de agua',?,?,NE,PE,grande,cluster1
irrigacao,arroz,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
adubacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,?,latossolo,NE,BA,grande,cluster1
biofertilizante,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,milho,?,NE,RN,grande,cluster1
irrigacao,?,neossolo,NE,PI,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,cana-de-acucar,?,NE,MA,grande,cluster1
irrigacao,arroz,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,milho,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,latossolo,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
adubacao,?,?,NE,BA,grande,cluster1
'manejo de irrigacao',?,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
adubacao,milho,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,cafe,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,milho,?,NE,RN,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,milho,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,mandioca,latossolo,NE,BA,grande,cluster1
irrigacao,?,?,NE,PI,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
biofertilizante,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,?,?,NE,CE,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,AL,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,PB,grande,cluster1
irrigacao,arroz,?,NE,PB,grande,cluster1
irrigacao,?,?,NE,BA,grande,cluster1
irrigacao,?,?,NE,MA,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,milho,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,SE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
irrigacao,?,?,NE,PE,grande,cluster1
'manejo de agua',?,?,NE,PE,grande,cluster1
irrigacao,mandioca,latossolo,NE,BA,grande,cluster1
irrigacao,milho,?,NE,PB,grande,cluster1
