tecnologia,tecnologiaClasse,cultura,culturaClasse,solo,regiao,uf,escala
adubacao,solo,?,?,argissolo,SE,MG,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,NE,BA,pequena
'fertilizante fosfatado',solo,feijao,'base alimentar e commodities',latossolo,N,RR,pequena
irrigacao,'engenharia agricola',?,?,?,SE,SP,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PB,pequena
fertilizante,solo,arroz,'base alimentar e commodities',?,N,AP,pequena
manejo,solo,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PE,pequena
aracao,solo,?,?,?,N,AM,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PI,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PB,pequena
'irrigacao por aspersao','engenharia agricola',trigo,'base alimentar e commodities',?,SE,SP,pequena
manejo,solo,abacaxi,frutiferas,?,N,AC,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
'manejo da cultura',planta,melancia,frutiferas,?,CO,GO,pequena
adubacao,planta,algodao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,CO,MT,pequena
adubacao,planta,'batata doce',olericulturas,?,SE,SP,pequena
?,?,banana,frutiferas,latossolo,N,AM,pequena
?,?,arroz,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,planta,?,?,?,SE,RJ,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,N,PA,pequena
?,?,sorgo,'base alimentar e commodities',?,SE,MG,pequena
'adubacao organica',planta,banana,frutiferas,?,NE,MA,pequena
adubacao,solo,abacaxi,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PE,pequena
manejo,solo,abacaxi,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',cevada,extrativas,?,N,AM,pequena
manejo,solo,?,?,?,CO,MS,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',cana-de-acucar,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,RN,pequena
irrigacao,planta,cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
adubacao,planta,pimentao,olericulturas,?,N,RR,pequena
germoplasma,'melhoramento genetico',pitanga,frutiferas,?,NE,PE,pequena
manejo,solo,milho,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',girassol,extrativas,?,CO,GO,pequena
irrigacao,planta,nogueira,frutiferas,?,N,AC,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,S,PR,pequena
'manejo de irrigacao','engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
manejo,solo,?,?,?,N,AC,pequena
irrigacao,solo,goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,PB,pequena
'manejo da cultura',planta,melancia,frutiferas,?,SE,MG,pequena
fertilizante,planta,soja,'base alimentar e commodities',latossolo,N,PA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,SE,pequena
'adubacao organica',solo,banana,frutiferas,?,NE,BA,pequena
manejo,solo,manga,frutiferas,?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,SE,ES,pequena
manejo,solo,beterraba,olericulturas,?,NE,CE,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,soja,'base alimentar e commodities',?,S,SC,pequena
'adubacao por cobertura',planta,pimentao,olericulturas,?,N,RR,pequena
?,?,tomate,olericulturas,?,SE,MG,pequena
'adubacao organica',planta,banana,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,latossolo,NE,BA,pequena
?,?,feijao,'base alimentar e commodities',?,SE,MG,pequena
adubacao,planta,algodao,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,planta,cafe,'base alimentar e commodities',?,SE,MG,pequena
'manejo nos cultivos',planta,melao,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,MA,pequena
?,?,manga,frutiferas,?,SE,MG,pequena
?,?,sorgo,'base alimentar e commodities',?,SE,MG,pequena
manejo,solo,?,?,latossolo,CO,GO,pequena
'manejo do solo',?,?,?,argissolo,N,PA,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',?,?,neossolo,NE,PI,pequena
irrigacao,solo,?,?,?,NE,PE,pequena
manejo,solo,abacaxi,frutiferas,?,N,AC,pequena
biofertilizante,solo,melao,frutiferas,?,NE,MA,pequena
biofertilizante,solo,melao,frutiferas,?,SE,SP,pequena
irrigacao,'engenharia agricola',cana-de-acucar,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,planta,cana-de-acucar,'base alimentar e commodities',?,SE,MG,pequena
?,?,mandioca,'base alimentar e commodities',latossolo,CO,GO,pequena
'plantio direto','sistemas de producao',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
manejo,solo,?,?,?,SE,MG,pequena
irrigacao,solo,pimenta,olericulturas,?,N,AM,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,NE,BA,pequena
'plantio direto','sistemas de producao',milho,'base alimentar e commodities',?,N,RO,pequena
irrigacao,solo,tomate,olericulturas,?,NE,PE,pequena
?,?,sorgo,'base alimentar e commodities',neossolo,NE,PE,pequena
manejo,solo,?,?,?,SE,MG,pequena
?,?,algodao,'base alimentar e commodities',?,CO,MS,pequena
manejo,solo,?,?,?,N,TO,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,S,SC,pequena
'manejo de poda',planta,uva,frutiferas,?,SE,MG,pequena
irrigacao,planta,melancia,frutiferas,?,NE,PI,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,PE,pequena
'manejo dos recursos hidricos','engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,SE,MG,pequena
manejo,solo,milho,'base alimentar e commodities',?,N,AM,pequena
manejo,solo,melancia,frutiferas,?,CO,GO,pequena
manejo,solo,?,?,?,NE,BA,pequena
'manejo de irrigacao',solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
'manejo dos recursos hidricos','engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
irrigacao,'engenharia agricola',cafe,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,solo,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,solo,tomate,olericulturas,?,SE,MG,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,SE,MG,pequena
fertilizante,solo,cafe,'base alimentar e commodities',?,CO,DF,pequena
irrigacao,solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',milho,'base alimentar e commodities',?,NE,PI,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
'manejo de irrigacao',solo,banana,frutiferas,?,NE,PE,pequena
?,?,tomate,olericulturas,?,N,TO,pequena
irrigacao,solo,?,?,?,NE,BA,pequena
adubacao,solo,nogueira,frutiferas,?,NE,BA,pequena
adubacao,solo,?,?,?,SE,MG,pequena
?,?,banana,frutiferas,?,SE,MG,pequena
manejo,solo,milho,'base alimentar e commodities',?,CO,MS,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,SE,MG,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,SE,SP,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
'plantio direto',solo,milho,'base alimentar e commodities',?,N,AC,pequena
?,?,arroz,'base alimentar e commodities',?,N,AP,pequena
adubacao,planta,girassol,extrativas,?,CO,GO,pequena
manejo,solo,?,?,?,S,SC,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,CO,MS,pequena
adubacao,planta,milho,'base alimentar e commodities',?,N,AC,pequena
irrigacao,planta,melao,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,solo,banana,frutiferas,latossolo,NE,BA,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,SE,MG,pequena
irrigacao,planta,uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,CO,GO,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,BA,pequena
'adubacao mineral',solo,nogueira,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PE,pequena
manejo,solo,cafe,'base alimentar e commodities',?,SE,MG,pequena
'manejo do ambiente',planta,pimentao,olericulturas,?,N,AM,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,N,RR,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,CO,MS,pequena
manejo,solo,?,?,?,CO,MT,pequena
irrigacao,'engenharia agricola',abacaxi,frutiferas,?,SE,MG,pequena
'plantio direto','sistemas de producao',arroz,'base alimentar e commodities',?,N,AM,pequena
'manejo de irrigacao',planta,banana,frutiferas,?,SE,MG,pequena
irrigacao,solo,cebola,olericulturas,?,NE,PB,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PE,pequena
irrigacao,planta,?,?,?,SE,MG,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,MA,pequena
'manejo do ambiente',solo,pimentao,olericulturas,?,N,AM,pequena
irrigacao,planta,banana,frutiferas,latossolo,NE,BA,pequena
'irrigacao localizada','engenharia agricola',maracuja,frutiferas,?,N,AC,pequena
?,?,banana,frutiferas,latossolo,NE,MA,pequena
adubacao,solo,abacaxi,frutiferas,?,N,PA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
'irrigacao por gotejamento','engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
adubacao,solo,?,?,?,CO,GO,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
?,?,melao,frutiferas,argissolo,N,TO,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,solo,?,?,?,NE,MA,pequena
'plantio direto','sistemas de producao',arroz,'base alimentar e commodities',latossolo,N,PA,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,?,?,?,S,RS,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,SE,MG,pequena
?,?,feijao,'base alimentar e commodities',latossolo,SE,MG,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,MA,pequena
manejo,solo,?,?,latossolo,N,AM,pequena
irrigacao,'engenharia agricola',banana,frutiferas,latossolo,SE,MG,pequena
irrigacao,'engenharia agricola',feijao,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PE,pequena
manejo,solo,?,?,?,SE,RJ,pequena
irrigacao,'engenharia agricola',pessego,frutiferas,?,S,RS,pequena
'adubacao organica',planta,alho,olericulturas,?,N,PA,pequena
?,?,arroz,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,planta,pitanga,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,PE,pequena
?,?,arroz,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,solo,tomate,olericulturas,?,SE,ES,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PE,pequena
adubacao,solo,feijao,'base alimentar e commodities',?,S,PR,pequena
'irrigacao por gotejamento','engenharia agricola',?,?,?,SE,MG,pequena
manejo,solo,?,?,?,N,AP,pequena
?,?,nogueira,frutiferas,?,N,AC,pequena
?,?,mandioca,'base alimentar e commodities',?,SE,MG,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,CO,MT,pequena
irrigacao,'engenharia agricola',trigo,'base alimentar e commodities',?,SE,SP,pequena
'manejo organico',solo,maca,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',cevada,extrativas,?,N,AM,pequena
aracao,solo,?,?,?,NE,PE,pequena
manejo,solo,abacaxi,frutiferas,?,N,AC,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
?,?,soja,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,tomate,olericulturas,?,SE,MG,pequena
'irrigacao suplementar','engenharia agricola','batata doce',olericulturas,?,SE,MG,pequena
manejo,solo,manga,frutiferas,?,SE,SP,pequena
adubacao,planta,?,?,?,CO,GO,pequena
irrigacao,planta,abacaxi,frutiferas,?,SE,MG,pequena
'manejo do solo',?,?,?,?,NE,PI,pequena
'manejo de poda',planta,uva,frutiferas,?,SE,SP,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,CO,DF,pequena
'manejo do solo',?,milho,'base alimentar e commodities',?,NE,BA,pequena
fertilizante,solo,seringueira,extrativas,?,SE,MG,pequena
?,?,batata,'base alimentar e commodities',?,CO,GO,pequena
irrigacao,planta,mandioca,'base alimentar e commodities',?,NE,PE,pequena
'variabilidade genetica','melhoramento genetico',?,?,?,N,PA,pequena
irrigacao,planta,tomate,olericulturas,?,SE,RJ,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,N,TO,pequena
?,?,melancia,frutiferas,?,N,RO,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
'manejo do ambiente',planta,pimentao,olericulturas,?,N,AM,pequena
irrigacao,planta,?,?,?,SE,SP,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,planta,trigo,'base alimentar e commodities',?,SE,SP,pequena
'manejo de irrigacao',planta,uva,frutiferas,?,NE,BA,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',cafe,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,soja,'base alimentar e commodities',?,NE,PB,pequena
manejo,solo,banana,frutiferas,?,NE,BA,pequena
?,?,arroz,'base alimentar e commodities',?,N,AC,pequena
irrigacao,'engenharia agricola',abacate,frutiferas,?,NE,MA,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,MA,pequena
manejo,solo,milho,'base alimentar e commodities',?,N,AC,pequena
manejo,solo,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,SE,MG,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,SE,SP,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,NE,PB,pequena
'manejo fitotecnico','controle fitossanitario',nogueira,frutiferas,?,NE,BA,pequena
?,?,trigo,'base alimentar e commodities',?,NE,CE,pequena
agrotoxico,'controle fitossanitario',uva,frutiferas,?,SE,SP,pequena
adubacao,planta,amendoim,extrativas,?,NE,PE,pequena
manejo,solo,banana,frutiferas,?,N,AC,pequena
irrigacao,solo,cana-de-acucar,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PB,pequena
?,?,?,?,latossolo,SE,MG,pequena
'adubacao mineral',solo,mandioca,'base alimentar e commodities',?,NE,BA,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,SE,MG,pequena
'manejo do solo',?,melancia,frutiferas,?,SE,MG,pequena
irrigacao,solo,uva,frutiferas,?,NE,MA,pequena
fertilizante,planta,tomate,olericulturas,?,NE,PB,pequena
irrigacao,solo,laranja,'base alimentar e commodities',?,NE,BA,pequena
biofertilizante,solo,melao,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,CO,MT,pequena
'manejo nos cultivos',planta,melao,frutiferas,?,NE,PB,pequena
'manejo de irrigacao',solo,?,?,?,SE,MG,pequena
?,?,trigo,'base alimentar e commodities',?,S,RS,pequena
adubacao,planta,cenoura,olericulturas,?,NE,CE,pequena
irrigacao,solo,feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,planta,?,?,?,NE,PB,pequena
'manejo dos recursos hidricos',solo,?,?,?,SE,SP,pequena
irrigacao,planta,?,?,?,NE,PI,pequena
manejo,solo,arroz,'base alimentar e commodities',latossolo,N,PA,pequena
adubacao,solo,amendoim,extrativas,?,N,PA,pequena
irrigacao,solo,uva,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
adubacao,solo,seringueira,extrativas,?,SE,MG,pequena
manejo,solo,?,?,?,N,AP,pequena
adubacao,planta,?,?,?,NE,BA,pequena
irrigacao,solo,soja,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,planta,uva,frutiferas,?,SE,MG,pequena
irrigacao,solo,abacaxi,frutiferas,?,SE,MG,pequena
irrigacao,planta,uva,frutiferas,?,NE,PE,pequena
manejo,solo,abacaxi,frutiferas,?,NE,PB,pequena
'irrigacao por aspersao','engenharia agricola',cebola,olericulturas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',mamona,extrativas,latossolo,NE,BA,pequena
genotipo,'melhoramento genetico',soja,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,SE,pequena
irrigacao,planta,banana,frutiferas,?,SE,MG,pequena
'manejo de irrigacao',solo,melancia,frutiferas,?,NE,PI,pequena
'manejo de irrigacao','engenharia agricola',melancia,frutiferas,?,NE,PI,pequena
'manejo de poda',solo,uva,frutiferas,?,NE,MA,pequena
irrigacao,planta,?,?,latossolo,NE,BA,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
irrigacao,planta,laranja,'base alimentar e commodities',?,S,PR,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
irrigacao,planta,?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,S,SC,pequena
'melhoramento genetico','melhoramento genetico',abacaxi,frutiferas,?,N,AC,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PB,pequena
irrigacao,planta,banana,frutiferas,?,NE,PB,pequena
irrigacao,planta,trigo,'base alimentar e commodities',?,CO,DF,pequena
irrigacao,planta,uva,frutiferas,?,NE,MA,pequena
?,?,sorgo,'base alimentar e commodities',?,SE,MG,pequena
'manejo do solo',?,?,?,latossolo,N,AM,pequena
'manejo do solo',?,?,?,?,NE,MA,pequena
aracao,solo,?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',laranja,'base alimentar e commodities',?,S,PR,pequena
irrigacao,planta,banana,frutiferas,?,SE,MG,pequena
'irrigacao suplementar','engenharia agricola',laranja,'base alimentar e commodities',?,S,PR,pequena
pos-colheita,'engenharia agricola',?,?,?,SE,MG,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,SE,MG,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
?,?,seringueira,extrativas,?,NE,PE,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,PB,pequena
manejo,solo,soja,'base alimentar e commodities',?,CO,MS,pequena
manejo,solo,?,?,plintossolo,SE,ES,pequena
adubacao,planta,manga,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',cana-de-acucar,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,arroz,'base alimentar e commodities',?,SE,RJ,pequena
irrigacao,planta,tomate,olericulturas,?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,planta,tomate,olericulturas,?,CO,DF,pequena
manejo,solo,?,?,?,SE,MG,pequena
fertilizante,solo,milho,'base alimentar e commodities',?,CO,DF,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PI,pequena
?,?,melao,frutiferas,?,NE,PE,pequena
adubacao,planta,?,?,?,SE,MG,pequena
adubacao,solo,mamona,extrativas,latossolo,SE,MG,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
irrigacao,solo,soja,'base alimentar e commodities',?,NE,PB,pequena
irrigacao,'engenharia agricola',arroz,'base alimentar e commodities',?,SE,MG,pequena
adubacao,planta,?,?,?,NE,BA,pequena
adubacao,planta,milho,'base alimentar e commodities',?,N,AC,pequena
'manejo dos recursos hidricos',geotecnologias,?,?,?,NE,PE,pequena
manejo,solo,cafe,'base alimentar e commodities',?,N,AC,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PE,pequena
'adubacao organica',solo,?,?,?,S,RS,pequena
aracao,solo,?,?,?,SE,MG,pequena
irrigacao,planta,mamona,extrativas,latossolo,NE,BA,pequena
'irrigacao localizada','engenharia agricola',?,?,?,SE,MG,pequena
adubacao,solo,soja,'base alimentar e commodities',?,N,PA,pequena
irrigacao,solo,?,?,?,SE,MG,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
'manejo de irrigacao',solo,uva,frutiferas,?,NE,BA,pequena
adubacao,planta,banana,frutiferas,?,NE,BA,pequena
manejo,solo,manga,frutiferas,?,NE,BA,pequena
irrigacao,planta,mandioca,'base alimentar e commodities',?,NE,RN,pequena
'melhoramento genetico','melhoramento genetico',feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,banana,frutiferas,?,NE,PE,pequena
irrigacao,solo,tomate,olericulturas,?,NE,PE,pequena
npk,solo,tomate,olericulturas,?,NE,PB,pequena
irrigacao,planta,?,?,latossolo,NE,BA,pequena
irrigacao,solo,melao,frutiferas,?,NE,MA,pequena
manejo,solo,beterraba,olericulturas,?,NE,CE,pequena
irrigacao,solo,arroz,'base alimentar e commodities',?,NE,MA,pequena
irrigacao,'engenharia agricola',?,?,neossolo,NE,PI,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,MA,pequena
?,?,seringueira,extrativas,?,CO,MS,pequena
'manejo de irrigacao',solo,banana,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',?,?,?,NE,PE,pequena
'manejo de poda',planta,uva,frutiferas,?,NE,PB,pequena
'plantio direto','sistemas de producao',milho,'base alimentar e commodities',?,NE,SE,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,'engenharia agricola',goiaba,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,BA,pequena
irrigacao,solo,?,?,?,NE,BA,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PE,pequena
irrigacao,planta,abacaxi,frutiferas,?,NE,PB,pequena
irrigacao,'engenharia agricola',trigo,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,'engenharia agricola',?,?,?,NE,MA,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,S,SC,pequena
adubacao,planta,cana-de-acucar,'base alimentar e commodities',?,SE,RJ,pequena
'agricultura de precisao',geotecnologias,?,?,?,CO,MT,pequena
agrotoxico,'controle fitossanitario',manga,frutiferas,?,NE,MA,pequena
irrigacao,planta,banana,frutiferas,?,SE,MG,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,PE,pequena
'plantio direto',solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
'agricultura de precisao','agricultura de precisao',soja,'base alimentar e commodities',?,S,PR,pequena
irrigacao,'engenharia agricola',uva,frutiferas,?,NE,PE,pequena
adubacao,solo,?,?,?,S,RS,pequena
'irrigacao por microaspersao','engenharia agricola',banana,frutiferas,?,NE,MA,pequena
irrigacao,'engenharia agricola',mandioca,'base alimentar e commodities',?,NE,RN,pequena
manejo,solo,?,?,?,N,AC,pequena
irrigacao,'engenharia agricola',melao,frutiferas,?,NE,MA,pequena
?,?,uva,frutiferas,?,N,PA,pequena
adubacao,solo,?,?,latossolo,S,RS,pequena
irrigacao,'engenharia agricola',?,?,?,NE,CE,pequena
manejo,solo,arroz,'base alimentar e commodities',?,CO,GO,pequena
'plantio direto','sistemas de producao',?,?,?,N,PA,pequena
manejo,solo,?,?,?,CO,DF,pequena
fertilizante,planta,seringueira,extrativas,?,NE,BA,pequena
irrigacao,'engenharia agricola',manga,frutiferas,?,NE,BA,pequena
adubacao,planta,nogueira,frutiferas,?,N,AC,pequena
manejo,solo,manga,frutiferas,?,N,PA,pequena
'adubacao organica',planta,banana,frutiferas,?,NE,PB,pequena
?,?,mandioca,'base alimentar e commodities',?,N,AM,pequena
irrigacao,planta,goiaba,frutiferas,?,NE,PE,pequena
adubacao,planta,mandioca,'base alimentar e commodities',?,SE,MG,pequena
irrigacao,planta,abacaxi,frutiferas,?,NE,PB,pequena
adubacao,planta,milho,'base alimentar e commodities',?,NE,CE,pequena
manejo,solo,feijao,'base alimentar e commodities',?,NE,BA,pequena
manejo,solo,?,?,argissolo,N,TO,pequena
'plantio direto',solo,soja,'base alimentar e commodities',?,N,AM,pequena
irrigacao,'engenharia agricola',banana,frutiferas,?,NE,PB,pequena
manejo,solo,arroz,'base alimentar e commodities',?,N,RR,pequena
'melhoramento genetico','melhoramento genetico',milho,'base alimentar e commodities',?,N,PA,pequena
irrigacao,planta,?,?,?,CO,MS,pequena
'adubacao organica',planta,banana,frutiferas,?,NE,PE,pequena
adubacao,solo,?,?,?,S,RS,pequena
irrigacao,planta,feijao,'base alimentar e commodities',?,NE,PE,pequena
irrigacao,solo,?,?,?,SE,RJ,pequena
irrigacao,solo,banana,frutiferas,?,NE,PE,pequena
irrigacao,planta,banana,frutiferas,?,NE,PE,pequena
irrigacao,'engenharia agricola',tomate,olericulturas,?,NE,PB,pequena
manejo,solo,mandioca,'base alimentar e commodities',?,N,AC,pequena
irrigacao,solo,trigo,'base alimentar e commodities',?,SE,SP,pequena
irrigacao,'engenharia agricola',?,?,latossolo,NE,BA,pequena
?,?,cana-de-acucar,'base alimentar e commodities',?,NE,MA,pequena
'manejo de irrigacao',solo,melancia,frutiferas,?,NE,PI,pequena
